iter	RMSE
312	0.3820691961
313	0.3820326356
314	0.3820127938
315	0.3819843635
316	0.3819831174
317	0.3819541897
318	0.3819535069
319	0.3819360189
320	0.381930213
321	0.3819298343
322	0.3819146163
323	0.3818800458
324	0.3818524992
325	0.381816192
326	0.3818156437
327	0.3818013288
328	0.3818008512
329	0.3817790935
330	0.3817452539
331	0.3817346422
332	0.381700564
333	0.3816894402
334	0.381680312
335	0.3816747805
336	0.381635955
337	0.3816175016
338	0.3815774424
339	0.3815768852
340	0.3815592585
341	0.38153417
342	0.3815212704
343	0.3815109564
344	0.3814910685
345	0.3814581939
346	0.3814463377
347	0.3814383709
348	0.3814265145
349	0.3814254461
350	0.3813996366
351	0.3813990881
352	0.3813713066
353	0.381328904
354	0.3812831489
355	0.381274957
356	0.3812437312
357	0.3812429667
358	0.3812426855
359	0.3812304633
360	0.3812234441
361	0.3812094522
362	0.381178611
363	0.3811548676
364	0.3811302711
365	0.3810907956
366	0.3810639761
367	0.3810414757
368	0.3810229082
369	0.381013161
370	0.3810057996
371	0.3809926473
372	0.3809856034
373	0.3809617532
374	0.3809483275
375	0.3809353026
376	0.3809148622
377	0.3808835752
378	0.3808637185
379	0.3808628791
380	0.3808303741
381	0.3808120675
382	0.3807765987
383	0.3807537934
384	0.3807215766
385	0.380708997
386	0.3806972724
387	0.3806726656
388	0.3806456996
389	0.3806269845
390	0.3806184477
391	0.3806103201
392	0.3805907427
393	0.3805420895
394	0.3805032895
395	0.3804759426
396	0.3804645071
397	0.3804407354
398	0.3804382779
399	0.3804013085
400	0.3803874919
401	0.3803790071
402	0.3803522555
403	0.3803032053
404	0.3802958726
405	0.3802626535
406	0.3802054437
407	0.3801642825
408	0.380146244
409	0.3801317395
410	0.3801116935
411	0.3800986853
412	0.3800628
413	0.3800417319
414	0.3800260124
415	0.3800249703
416	0.3799739825
417	0.3799518618
418	0.3799137335
419	0.3798850847
420	0.3798689317
421	0.3798396394
422	0.379839029
423	0.3798120259
424	0.379793507
425	0.3797805469
426	0.3797362534
427	0.3797306189
428	0.3797205732
429	0.3797070181
430	0.3796828264
431	0.3796478347
432	0.3796100283
433	0.3795993897
434	0.3795675194
435	0.3795557433
436	0.3795424681
437	0.3795237347
438	0.3794873987
439	0.3794600513
440	0.3794421902
441	0.3794307602
442	0.3794107137
443	0.3793961223
444	0.3793957964
445	0.3793508282
446	0.3793244268
447	0.3793078778
448	0.3792749531
449	0.3792446806
450	0.3792205536
451	0.3791732462
452	0.3791677122
453	0.3791509835
454	0.3791306794
455	0.3791067409
456	0.3790695704
457	0.3790494167
458	0.3790332014
459	0.3790230572
460	0.3790224801
461	0.3789984292
462	0.3789710584
463	0.3789580802
464	0.3789546324
465	0.3789362771
466	0.3789267557
467	0.3789116019
468	0.378883668
469	0.3788722327
470	0.3788494011
471	0.3788332609
472	0.3788330546
473	0.3788114614
474	0.378801144
475	0.3787767465
476	0.3787619469
477	0.3787569487
478	0.3787324667
479	0.3787097319
480	0.3786852588
481	0.3786451403
482	0.3786320953
483	0.3786206635
484	0.3786057283
485	0.3785983452
486	0.3785919483
487	0.3785711502
488	0.3785285162
489	0.3785115473
490	0.3784996096
491	0.3784935961
492	0.3784892535
493	0.3784358259
494	0.378422907
495	0.3783768687
496	0.378327586
497	0.378325739
498	0.3783254751
499	0.3783054207
500	0.3782861459
501	0.37827145
502	0.3782476859
503	0.3782345336
504	0.3782343785
505	0.3781854779
506	0.3781707023
507	0.3781566138
508	0.3781528087
509	0.3781286125
510	0.3781162282
511	0.3781159889
512	0.3780819037
513	0.378075519
514	0.3780701243
515	0.3780559513
516	0.3780203599
517	0.3779944762
518	0.3779841855
519	0.3779738502
520	0.3779564902
521	0.3779396349
522	0.377908099
523	0.377862212
524	0.377859531
525	0.3778501671
526	0.3778440644
527	0.3778273685
528	0.3777990689
529	0.3777601637
530	0.3777311871
531	0.3777242318
532	0.3777132963
533	0.3777124856
534	0.3776951561
535	0.3776803195
536	0.3776730708
537	0.3776346378
538	0.377601857
539	0.3776012447
540	0.3776011303
541	0.3775804169
542	0.3775748308
543	0.3775544524
544	0.3775303531
545	0.3775131346
546	0.3775077787
547	0.3774888876
548	0.3774676575
549	0.3774443121
550	0.3774154858
551	0.3774147545
552	0.3774097124
553	0.3773938634
554	0.3773929302
555	0.3773662854
556	0.3773449234
557	0.3773184924
558	0.3773035125
559	0.3772889375
560	0.3772656923
561	0.3772351849
562	0.3772263617
563	0.3772154451
564	0.3772018065
565	0.3771718565
566	0.3771571822
567	0.3771470295
568	0.3771150794
569	0.3770998853
570	0.3770697206
571	0.3770400717
572	0.3770337731
573	0.3770184479
574	0.376991041
575	0.3769824088
576	0.376975256
577	0.3769619806
578	0.3769330839
579	0.3769028752
580	0.3768781896
581	0.3768726759
582	0.3768635838
583	0.3768380119
584	0.3768038289
585	0.3768036682
586	0.3767753171
587	0.3767566708
588	0.3767232194
589	0.3766910775
590	0.3766653143
591	0.3766387321
592	0.3766217665
593	0.3765656092
594	0.376561241
595	0.3765574232
596	0.3765432969
597	0.3765331251
598	0.3765037679
599	0.3764819305
600	0.3764665323
601	0.3764339846
602	0.376432369
603	0.3764217856
604	0.3763907486
605	0.3763746761
606	0.3763408061
607	0.3763231559
608	0.3763127519
609	0.3763057898
610	0.3763056317
611	0.3762935237
612	0.3762642441
613	0.3762641322
614	0.3762580399
615	0.3762217094
616	0.3761996902
617	0.3761887664
618	0.3761885923
619	0.3761767648
620	0.3761301578
621	0.3760918424
622	0.3760914286
623	0.3760696068
624	0.376055336
625	0.3760518779
626	0.3760103214
627	0.3760074714
628	0.3759697718
629	0.3759529481
630	0.3759443636
631	0.3759202993
632	0.3759197474
633	0.3759195553
634	0.3758796867
635	0.3758695548
636	0.375835084
637	0.3758018204
638	0.3758007267
639	0.3757765606
640	0.3757541792
641	0.3757260469
642	0.3757230137
643	0.3757204677
644	0.3757202971
645	0.3757193674
646	0.3757132402
647	0.3757106033
648	0.3757060836
649	0.3757059901
650	0.3756962357
651	0.3756924296
652	0.375679042
653	0.3756775087
654	0.3756658235
655	0.3756468793
656	0.3756228009
657	0.3756044865
658	0.3755911754
659	0.3755906658
660	0.3755821656
661	0.3755421384
662	0.3755268506
663	0.3755090063
664	0.3755043294
665	0.3755042324
666	0.3755009365
667	0.3754872534
668	0.3754841279
669	0.3754808243
670	0.3754690731
671	0.3754593204
672	0.3754418854
673	0.3754374412
674	0.3754193206
675	0.3754190128
676	0.3754184853
677	0.375405138
678	0.3754046469
679	0.3754007761
680	0.375393651
681	0.3753704486
682	0.3753496786
683	0.3753222853
684	0.3753211722
685	0.3752954217
686	0.375283344
687	0.3752639269
688	0.3752431338
689	0.3752143765
690	0.3752123187
691	0.3751879901
692	0.3751576833
693	0.37515764
694	0.3751167677
695	0.3751041883
696	0.375104074
697	0.3750891645
698	0.3750738513
699	0.3750737716
700	0.3750520485
701	0.3750309357
702	0.3750308451
703	0.3749944093
704	0.374993721
705	0.3749555244
706	0.3749458467
707	0.3749296576
708	0.374929585
709	0.3749293219
710	0.3749292636
711	0.3749289448
712	0.3749123015
713	0.3748857376
714	0.3748655115
715	0.3748626696
716	0.3748506792
717	0.3748453559
718	0.3748287479
719	0.3748025396
720	0.3747841196
721	0.3747602643
722	0.3747465633
723	0.3747398747
724	0.3747308361
725	0.3746977472
726	0.3746938348
727	0.3746867386
728	0.3746861346
729	0.3746860585
730	0.3746740609
731	0.3746677417
732	0.3746513794
733	0.3746388506
734	0.3746217275
735	0.3746114214
736	0.3746035784
737	0.3746035236
738	0.3745841927
739	0.3745629645
740	0.3745532263
741	0.3745129763
742	0.374493163
743	0.3744464625
744	0.3744330568
745	0.3744194673
746	0.3744193934
747	0.3744064575
748	0.3743709165
749	0.3743591711
750	0.3743415645
751	0.3743414557
752	0.3743144424
753	0.3742984002
754	0.3742983402
755	0.3742769556
756	0.3742612503
757	0.374242678
758	0.3742352231
759	0.3742323946
760	0.3742323534
761	0.37420945
762	0.3741743602
763	0.3741382245
764	0.3741269347
765	0.3741080877
766	0.3740994775
767	0.3740678708
768	0.3740274649
769	0.3740099589
770	0.3739983136
771	0.3739855061
772	0.3739751167
773	0.3739558013
774	0.3739365418
775	0.3739359586
776	0.3739099363
777	0.3738856307
778	0.3738761037
779	0.3738729943
780	0.3738727677
781	0.3738482343
782	0.3738332795
783	0.3738196082
784	0.3737877507
785	0.3737875906
786	0.3737829514
787	0.3737668084
788	0.3737418422
789	0.3737242017
790	0.3737003107
791	0.3736861127
792	0.3736637314
793	0.3736499489
794	0.3736200997
795	0.3735947127
796	0.3735860405
797	0.3735811305
798	0.3735781491
799	0.3735661218
800	0.3735597357
801	0.3735396008
802	0.3735246433
803	0.3735096704
804	0.3734843148
805	0.3734488423
806	0.3734316819
807	0.373424722
808	0.373399313
809	0.3733805833
810	0.3733641795
811	0.3733401094
812	0.3733235469
813	0.3733225524
814	0.3733090197
815	0.3732810885
816	0.373278267
817	0.3732429153
818	0.3732227497
819	0.3732044686
820	0.3731783692
821	0.373148854
822	0.3731442819
823	0.3731441911
824	0.3731352993
825	0.3731299123
826	0.3731297382
827	0.3731188778
828	0.3730923102
829	0.3730854949
830	0.3730754208
831	0.3730568575
832	0.3730567566
833	0.3730389231
834	0.3730266204
835	0.3730120075
836	0.3729804727
837	0.3729688953
838	0.3729389135
839	0.3729192147
840	0.3728939197
841	0.3728615334
842	0.3728529267
843	0.3728243986
844	0.372812575
845	0.3727995782
846	0.3727904762
847	0.3727704295
848	0.3727562651
849	0.3727403213
850	0.3727400092
851	0.3727324904
852	0.3727190142
853	0.3727037902
854	0.372684353
855	0.3726411321
856	0.3726406507
857	0.3726077279
858	0.372606356
859	0.3726008852
860	0.3725921831
861	0.3725767864
862	0.3725661742
863	0.3725573819
864	0.3725538322
865	0.3725482093
866	0.3725394465
867	0.372532554
868	0.3725245254
869	0.3725045865
870	0.3724962685
871	0.3724930097
872	0.372474332
873	0.3724661572
874	0.3724539765
875	0.3724465382
876	0.3724433649
877	0.3724360217
878	0.3724084361
879	0.3723764373
880	0.3723685626
881	0.3723650091
882	0.3723524099
883	0.3723257606
884	0.3723125981
885	0.3722799319
886	0.3722787698
887	0.3722747885
888	0.3722745144
889	0.37227443
890	0.3722729681
891	0.3722682979
892	0.3722576554
893	0.3722446196
894	0.3722275576
895	0.3722135162
896	0.3722010663
897	0.3721891201
898	0.3721715778
899	0.3721596253
900	0.3721282229
901	0.3721236305
902	0.3720980794
903	0.3720662443
904	0.3720484914
905	0.3720253424
906	0.3720138368
907	0.3720065087
908	0.3719918805
909	0.3719912486
910	0.3719823081
911	0.3719441208
912	0.3719395995
913	0.3719383287
914	0.3719288009
915	0.371918735
916	0.3719101086
917	0.3718921161
918	0.371868246
919	0.3718450224
920	0.371842567
921	0.371821395
922	0.3718098778
923	0.3717995649
924	0.371755107
925	0.3717364596
926	0.3717363899
927	0.3717283189
928	0.371718239
929	0.3717181813
930	0.3716951731
931	0.3716781402
932	0.3716759281
933	0.3716555567
934	0.3716350609
935	0.3716301534
936	0.3716068296
937	0.3715931937
938	0.3715865979
939	0.3715743755
940	0.3715664496
941	0.371555181
942	0.3715544154
943	0.3715451379
944	0.3715377446
945	0.3715350041
946	0.3715278027
947	0.3715167852
948	0.3714876721
949	0.3714631853
950	0.3714573189
951	0.3714457923
952	0.3714249356
953	0.3714145462
954	0.3714144674
955	0.3714139138
956	0.3713899556
957	0.3713517029
958	0.3713372501
959	0.3713250793
960	0.3712979571
961	0.3712821274
962	0.3712665038
963	0.3712429666
964	0.3712188341
965	0.3712171534
966	0.3712005064
967	0.3711783749
968	0.3711510466
969	0.3711324351
970	0.37112018
971	0.3711201466
972	0.3711201212
973	0.3711200625
974	0.3710916216
975	0.3710748605
976	0.3710626828
977	0.3710624444
978	0.3710612185
979	0.3710495098
980	0.3710330341
981	0.371025754
982	0.3709931309
983	0.3709887436
984	0.3709873916
985	0.3709682043
986	0.3709405573
987	0.3709399272
988	0.3709201624
989	0.370902587
990	0.3708916516
991	0.3708874768
992	0.3708772104
993	0.3708620236
994	0.370861629
995	0.3708426529
996	0.3708319707
997	0.3708268061
998	0.3708267497
999	0.3708126673
